Counter,Channel1,Channel2
915,1174,1722
916,1158,1758
917,1110,1819
918,1102,1835
919,1143,1830
920,1199,1770
921,1243,1707
922,1256,1703
923,1245,1691
924,1257,1695
925,1247,1711
926,1223,1772
927,1192,1838
928,1183,1864
929,1214,1836
930,1273,1770
931,1309,1709
932,1308,1706
933,1309,1707
934,1305,1711
935,1296,1725
936,1273,1768
937,1226,1835
938,1224,1837
939,1260,1832
940,1323,1767
941,1358,1720
942,1358,1711
943,1356,1707
944,1368,1720
945,1356,1736
946,1335,1787
947,1290,1822
948,1286,1837
949,1321,1822
950,1373,1772
951,1417,1723
952,1421,1710
953,1416,1703
954,1419,1720
955,1417,1734
956,1385,1786
957,1340,1835
958,1336,1853
959,1358,1850
960,1421,1787
961,1465,1724
962,1472,1721
963,1480,1723
964,1455,1737
965,1452,1739
966,1418,1789
967,1369,1851
968,1359,1869
969,1388,1830
970,1438,1752
971,1480,1722
972,1481,1720
973,1482,1723
974,1481,1735
975,1469,1758
976,1438,1787
977,1389,1851
978,1383,1871
979,1406,1864
980,1465,1785
981,1512,1727
982,1501,1725
983,1503,1737
984,1516,1736
985,1502,1742
986,1469,1802
987,1422,1848
988,1419,1880
989,1436,1856
990,1499,1788
991,1532,1736
992,1532,1726
993,1528,1740
994,1517,1739
995,1514,1736
996,1485,1787
997,1440,1851
998,1438,1871
999,1466,1852
1000,1527,1783
1001,1550,1739
1002,1559,1721
1003,1563,1726
1004,1547,1724
1005,1533,1738
1006,1513,1791
1007,1464,1864
1008,1455,1885
1009,1485,1854
1010,1546,1790
1011,1582,1741
1012,1577,1725
1013,1576,1736
1014,1576,1740
1015,1566,1753
1016,1518,1804
1017,1483,1849
1018,1471,1879
1019,1511,1867
1020,1566,1790
1021,1609,1740
1022,1611,1738
1023,1608,1735
1024,1599,1737
1025,1596,1755
1026,1565,1808
1027,1519,1867
1028,1517,1888
1029,1548,1867
1030,1595,1800
1031,1640,1725
1032,1641,1722
1033,1641,1725
1034,1626,1719
1035,1615,1740
1036,1592,1790
1037,1547,1864
1038,1548,1867
1039,1575,1850
1040,1629,1774
1041,1661,1727
1042,1674,1710
1043,1662,1722
1044,1663,1709
1045,1648,1752
1046,1612,1802
1047,1582,1850
1048,1579,1870
1049,1592,1864
1050,1644,1774
1051,1677,1727
1052,1689,1727
1053,1692,1742
1054,1690,1753
1055,1688,1755
1056,1656,1808
1057,1599,1870
1058,1610,1884
1059,1630,1883
1060,1694,1805
1061,1742,1743
1062,1743,1740
1063,1766,1726
1064,1743,1740
1065,1719,1759
1066,1692,1798
1067,1647,1863
1068,1676,1884
1069,1768,1869
1070,1801,1801
1071,1817,1737
1072,1832,1721
1073,1904,1724
1074,1849,1744
1075,1821,1754
1076,1872,1816
1077,1850,1850
1078,1837,1863
1079,1881,1864
1080,2042,1790
1081,2202,1737
1082,2175,1727
1083,2207,1727
1084,2313,1741
1085,2377,1756
1086,2474,1790
1087,2410,1884
1088,2392,1912
1089,2591,1854
1090,2750,1804
1091,2782,1739
1092,2828,1736
1093,2908,1756
1094,2906,1752
1095,2960,1755
1096,3008,1818
1097,2942,1884
1098,2940,1885
1099,3016,1887
1100,3101,1822
1101,3160,1789
1102,3209,1770
1103,3162,1774
1104,3162,1786
1105,3199,1804
1106,3179,1884
1107,3069,1929
1108,3086,1947
1109,3160,1933
1110,3240,1865
1111,3304,1816
1112,3231,1790
1113,3241,1817
1114,3120,1790
1115,3149,1832
1116,3176,1867
1117,3167,1928
1118,3111,1964
1119,3088,1931
1120,3147,1880
1121,3194,1836
1122,3165,1816
1123,3193,1831
1124,3259,1818
1125,3163,1854
1126,3084,1886
1127,3038,1932
1128,3069,1945
1129,3085,1918
1130,3069,1853
1131,3100,1816
1132,3101,1818
1133,3133,1806
1134,3099,1801
1135,3100,1814
1136,3005,1865
1137,3001,1903
1138,2892,1917
1139,2971,1914
1140,2990,1831
1141,2986,1772
1142,3007,1768
1143,3067,1754
1144,2985,1768
1145,2968,1755
1146,2937,1815
1147,2878,1869
1148,2846,1918
1149,2857,1884
1150,2919,1805
1151,2925,1770
1152,2935,1770
1153,2967,1755
1154,2968,1754
1155,2910,1759
1156,2830,1822
1157,2794,1850
1158,2765,1868
1159,2777,1882
1160,2875,1818
1161,2906,1739
1162,2872,1737
1163,2872,1720
1164,2924,1722
1165,2888,1740
1166,2827,1821
1167,2734,1856
1168,2720,1869
1169,2778,1833
1170,2859,1755
1171,2878,1723
1172,2905,1692
1173,2921,1688
1174,2871,1687
1175,2823,1706
1176,2862,1727
1177,2862,1816
1178,2845,1806
