Counter,Channel1,Channel2
1026,1578,2106
1027,1629,2077
1028,1741,1866
1029,1822,1690
1030,1819,1647
1031,1820,1627
1032,1819,1607
1033,1819,1614
1034,1756,1726
1035,1641,1979
1036,1594,2093
1037,1627,2074
1038,1756,1864
1039,1823,1675
1040,1819,1655
1041,1823,1629
1042,1832,1609
1043,1822,1608
1044,1755,1719
1045,1630,1965
1046,1596,2104
1047,1627,2074
1048,1754,1866
1049,1832,1688
1050,1834,1660
1051,1819,1639
1052,1823,1616
1053,1820,1626
1054,1756,1737
1055,1639,1977
1056,1593,2103
1057,1630,2088
1058,1755,1882
1059,1833,1704
1060,1837,1659
1061,1832,1646
1062,1832,1628
1063,1820,1627
1064,1757,1727
1065,1640,1979
1066,1592,2111
1067,1628,2094
1068,1740,1885
1069,1833,1689
1070,1832,1672
1071,1833,1645
1072,1831,1641
1073,1820,1631
1074,1758,1740
1075,1640,1979
1076,1592,2104
1077,1643,2094
1078,1759,1878
1079,1849,1688
1080,1831,1656
1081,1832,1646
1082,1833,1610
1083,1625,2010
1084,1609,2104
1085,1641,2080
1086,1758,1867
1087,1851,1672
1088,1851,1643
1089,1849,1630
1090,1849,1608
1091,1838,1596
1092,1787,1710
1093,1661,1964
1094,1615,2075
1095,1655,2064
1096,1769,1851
1097,1863,1663
1098,1854,1655
1099,1856,1616
1100,1864,1595
1101,1854,1591
1102,1801,1703
1103,1673,1947
1104,1629,2077
1105,1663,2060
1106,1784,1848
1107,1870,1659
1108,1856,1623
1109,1852,1612
1110,1850,1591
1111,1850,1594
1112,1791,1707
1113,1672,1947
1114,1625,2079
1115,1658,2064
1116,1775,1854
1117,1867,1661
1118,1867,1644
1119,1868,1630
1120,1870,1614
1121,1868,1611
1122,1808,1710
1123,1687,1976
1124,1643,2105
1125,1689,2090
1126,1805,1886
1127,1887,1689
1128,1885,1656
1129,1884,1630
1130,1887,1623
1131,1880,1625
1132,1807,1722
1133,1691,1977
1134,1643,2091
1135,1671,2064
1136,1772,1864
1137,1867,1673
1138,1868,1641
1139,1864,1613
1140,1864,1598
1141,1855,1594
1142,1801,1694
1143,1671,1949
1144,1625,2080
1145,1648,2074
1146,1767,1866
1147,1852,1660
1148,1853,1628
1149,1855,1614
1150,1852,1598
1151,1852,1608
1152,1801,1703
1153,1672,1960
1154,1612,2077
1155,1656,2076
1156,1776,1867
1157,1867,1676
1158,1865,1641
1159,1866,1632
1160,1864,1610
1161,1851,1610
1162,1790,1704
1163,1662,1962
1164,1614,2108
1165,1657,2090
1166,1773,1882
1167,1865,1689
1168,1853,1656
1169,1852,1642
1170,1851,1612
1171,1851,1611
1172,1803,1704
1173,1677,1960
1174,1640,2078
1175,1663,2077
1176,1787,1866
1177,1870,1673
1178,1865,1643
1179,1863,1623
1180,1867,1596
1181,1880,1598
1182,1818,1692
1183,1690,1951
1184,1656,2078
1185,1688,2063
1186,1790,1849
1187,1902,1641
1188,1931,1640
1189,1934,1615
1190,1934,1578
1191,1961,1579
1192,1930,1688
1193,1831,1932
1194,1804,2063
1195,1850,2044
1196,1998,1850
1197,2122,1655
1198,2138,1630
1199,2167,1624
1200,2190,1599
1201,2219,1612
1202,2191,1706
1203,2090,1976
1204,2075,2123
1205,2136,2121
1206,2270,1913
1207,2383,1725
1208,2412,1709
1209,2440,1693
1210,2444,1691
1211,2464,1704
1212,2442,1790
1213,2333,2046
1214,2300,2216
1215,2358,2237
1216,2478,2044
1217,2584,1836
1218,2619,1815
1219,2637,1806
1220,2638,1789
1221,2634,1816
1222,2591,1915
1223,2477,2172
1224,2443,2314
1225,2488,2329
1226,2590,2135
1227,2696,1945
1228,2712,1930
1229,2702,1918
1230,2700,1917
1231,2696,1915
1232,2623,2011
1233,2480,2270
1234,2426,2411
1235,2456,2411
1236,2559,2208
1237,2636,2007
1238,2604,1963
1239,2573,1948
1240,2553,1928
1241,2538,1928
1242,2474,2007
1243,2328,2252
1244,2267,2395
1245,2282,2381
1246,2382,2174
1247,2461,1978
1248,2457,1936
1249,2442,1913
1250,2427,1886
1251,2413,1894
1252,2379,1977
1253,2238,2218
1254,2187,2359
1255,2206,2347
1256,2319,2143
1257,2410,1935
1258,2409,1895
1259,2408,1870
1260,2412,1848
1261,2411,1838
1262,2360,1930
1263,2223,2172
1264,2171,2313
1265,2199,2303
1266,2313,2119
1267,2398,1903
1268,2381,1881
1269,2392,1851
1270,2393,1831
1271,2391,1821
1272,2333,1903
1273,2199,2155
1274,2142,2286
1275,2167,2285
1276,2267,2079
1277,2351,1879
1278,2350,1838
1279,2346,1816
1280,2344,1788
1281,2331,1789
1282,2270,1879
1283,2138,2124
1284,2088,2266
